trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.35, 'e': 0.06345417414263341}",20,8,-21.59487453388767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.35, 'e': 0.06325009250998034}",25,12,19.4523308856418,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.35, 'e': 0.06305171917135706}",20,0,-111.09811024292246,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
72,False,"{'a': 0.35, 'e': 0.06285881793678916}",20,0,26.891945599301543,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.35, 'e': 0.06267116546915921}",20,0,14.308757767982177,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
74,False,"{'a': 0.35, 'e': 0.0624885504216793}",20,0,-9.06478300386223,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
75,False,"{'a': 0.35, 'e': 0.06231077264390152}",20,5,-22.92388912623123,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.35, 'e': 0.06213764244999571}",25,6,27.170497082497516,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.35, 'e': 0.061968979943670864}",20,2,9.493351381853934,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.35, 'e': 0.06180461439468993}",25,6,19.160080317152023,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.35, 'e': 0.06164438366243548}",20,0,-33.99380929938252,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
80,False,"{'a': 0.35, 'e': 0.06148813366243548}",20,6,23.80660176007206,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.35, 'e': 0.061335717872159606}",25,15,18.593555804909045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.35, 'e': 0.06118699687275449}",30,19,10.90867071439158,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
83,False,"{'a': 0.35, 'e': 0.06104183792370528}",20,10,20.47881348452206,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.35, 'e': 0.06090011456769621}",20,0,-22.780558172978893,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
85,False,"{'a': 0.35, 'e': 0.06076170626319794}",25,4,13.241654809834568,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.35, 'e': 0.06062649804253813}",25,0,-10.850641225823875,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.35, 'e': 0.060494380193416714}",25,0,-23.56097267740349,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
88,False,"{'a': 0.35, 'e': 0.06036524796201175}",25,17,15.38522327287267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.35, 'e': 0.06023900127598726}",25,2,-9.492735581384649,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.35, 'e': 0.06011554448586381}",20,0,-22.293970572055454,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
91,False,"{'a': 0.35, 'e': 0.0599947861233472}",25,0,31.10812143529,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.35, 'e': 0.05987663867533208}",25,0,-3.277881579476948,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
93,False,"{'a': 0.35, 'e': 0.05976101837240688}",20,13,-32.4889348207876,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
94,False,"{'a': 0.35, 'e': 0.059647844990786236}",25,0,-9.710534315286836,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
